Complaint,Coded Month,Date Occur,Flag-Crime,Flag-Unfounded,Flag-Administrative,Count,Flag Cleanup,Crime,ILeads Add,ILeads Approve,District,Beat,Description,ILEADS-Address,ILEADS-Street,Neighborhood,ILeads Asg,ILeads Type,Location Name,Location Comment,CAD-Address,CAD-Street,X-Coord,Y-Coord,Date Crime Coded
17-022126,2017-05,5/10/2017 7:23,Y, , ,1, ,92000,5/10/2017 8:31,5/14/2017,3,323,SIMPLE ASSAULT-HARRASSMENT                        ,3227,CHEROKEE ST         ,30,303,, , ,3227,CHEROKEE,895145.8,1005631,5/15/2017
17-022723,2017-05,5/9/2017 14:40,Y, , ,1, ,265321,5/14/2017 6:43,5/14/2017,3,329,LEAVING SCENE OF ACCIDENT                         ,1122,OHIO AVE            ,31,303,, , ,1122,OHIO,899911.9,1015418,5/15/2017
17-022687,2017-05,5/13/2017 2:28,Y, , ,1, ,31111,5/13/2017 3:02,5/14/2017,4,423,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,1050,LUCAS AVE           ,35,304,, , ,,,907448.3,1019220,5/16/2017
17-022021,2017-05,5/9/2017 16:22,Y, , ,1, ,178200,5/9/2017 18:48,5/14/2017,3,324,SEX OFFNS-EXPOSURE/EXPOSING PERSON                ,3600,WISCONSIN AVE       ,18,303,, , ,3600,WISCONSIN,0,0,5/16/2017
17-015885,2017-05,4/1/2016 8:00,Y, , ,1, ,21000,4/5/2017 16:58,5/12/2017,6,621,RAPE -- FORCIBLE                                  ,4900,NATURAL BRIDGE AVE  ,55,210,, , ,4900,NATURAL BRIDGE,0,0,5/15/2017
17-022143,2017-05,5/8/2017 18:00,Y, , ,1, ,142320,5/10/2017 9:40,5/12/2017,2,224,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3736,BAMBERGER AVE       ,15,302,, , ,3736,BAMBERGER,891869.6,1003753,5/15/2017
17-022196,2017-05,5/10/2017 13:00,Y, , ,1, ,241100,5/10/2017 14:39,5/12/2017,2,222,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,5008,MIAMI ST            ,14,302,, , ,5008,MIAMI,884158.9,1005769,5/16/2017
17-022900,2017-05,5/14/2017 1:30,Y, , ,1, ,265321,5/14/2017 13:31,5/14/2017,4,428,LEAVING SCENE OF ACCIDENT                         ,650,19TH ST             ,36,304,, ,ON THE EAST SIDE OF THE STREET PARKED AT THE CURB,1818,WASHINGTON,904169.6,1019938,5/15/2017
17-022740,2017-05,5/13/2017 11:45,Y, , ,1, ,266510,5/13/2017 13:00,5/14/2017,1,121,PUBLIC ORDER-TRESPASSING                          ,7921,S BROADWAY          ,2,301,, ,4 FAMILY FLAT VACANT (GARAGE),7921,BROADWAY,888495.9,987356.6,5/16/2017
17-022300,2017-05,5/11/2017 4:18,Y, , ,1, ,265321,5/12/2017 6:50,5/15/2017,5,523,LEAVING SCENE OF ACCIDENT                         ,2602,N TAYLOR AVE        ,57,305,, , ,,,893235.5,1030210,5/15/2017
17-022172,2017-05,5/5/2017 8:30,Y, , ,1, ,64601,5/10/2017 12:41,5/13/2017,6,628,"LARCENY-FROM MTR VEH $500 - $24,999               ",8540,GILMORE AVE         ,74,306,, , ,8540,GILMORE,894563.5,1048199,5/15/2017
17-022615,2017-05,5/12/2017 17:12,Y, , ,1, ,265321,5/12/2017 19:14,5/14/2017,4,428,LEAVING SCENE OF ACCIDENT                         ,0,DR MARTIN LUTHER KING DR / N V,77,304,, ,ALIAS N VANDEVENTER AVE/MLK CITY,,,896746.9,1025911,5/15/2017
17-022501,2017-05,5/11/2017 20:00,Y, , ,1, ,65601,5/12/2017 7:42,5/14/2017,2,221,"LARCENY-MTR VEH PARTS $500 - $24,999              ",3515,MORGANFORD RD       ,15,302,, , ,3515,MORGANFORD,887932.8,1005333,5/15/2017
17-022587,2017-05,5/7/2017 12:00,Y, , ,1, ,142320,5/12/2017 15:53,5/13/2017,2,222,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5701,DELOR ST            ,7,302,, , ,5701,DELOR,880238.8,1001632,5/15/2017
17-022648,2017-05,5/12/2017 21:10,Y, , ,1, ,91114,5/12/2017 21:57,5/14/2017,2,222,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3262,WATSON RD           ,9,302,, , ,3262,WATSON,878036.9,1008778,5/15/2017
17-022746,2017-05,5/12/2017 20:00,Y, , ,1, ,71013,5/13/2017 13:20,5/13/2017,3,324,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3407,S JEFFERSON AVE     ,18,680,,NEBULA, ,,,898769.5,1005097,5/15/2017
17-022510,2017-05,5/12/2017 7:54,Y, , ,1, ,265321,5/12/2017 12:48,5/14/2017,2,229,LEAVING SCENE OF ACCIDENT                         ,0,I 64 WESTBOUND / S SKINKER BLV,44,302,, , ,981,SKINKER,876096.1,1019530,5/15/2017
17-022565,2017-05,5/12/2017 13:10,Y, , ,1, ,250000,5/12/2017 13:28,5/14/2017,4,424,LOITERING-BEGGING                                 ,400,COLE ST             ,62,304,, , ,400,COLE,909779.8,1019712,5/15/2017
17-022691,2017-05,5/13/2017 2:00,Y, , ,1, ,91114,5/13/2017 4:35,5/14/2017,5,528,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5056,GRANBERRY WAY LN    ,52,305,, , ,5056,GRANBERRY WAY,890020.4,1034172,5/15/2017
17-022712,2017-05,5/12/2017 21:00,Y, , ,1, ,265321,5/13/2017 10:31,5/14/2017,2,222,LEAVING SCENE OF ACCIDENT                         ,5310,MARDEL AVE          ,14,302,, , ,5310,MARDEL,882696.9,1005052,5/15/2017
17-016251,2017-05,4/7/2017 19:20,Y, , ,1, ,211000,4/7/2017 20:30,5/12/2017,3,326,DUI-DRVING WHILE INTOXICATED                      ,1920,S 8TH ST            ,21,378,, , ,1879,9TH,905084.8,1010472,5/15/2017
17-022082,2017-05,5/9/2017 22:48,Y, , ,1, ,36111,5/9/2017 23:45,5/15/2017,1,127,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS          ,5201,S GRAND BLVD        ,3,301,,DOMINO S, ,5201,GRAND,891031.8,997070.8,5/16/2017
17-022744,2017-05,5/13/2017 12:38,Y, , ,1, ,31421,5/13/2017 16:52,5/14/2017,5,523,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS         ,4429,KENNERLY AVE        ,57,305,, , ,4429,KENNERLY,893715.7,1030363,5/16/2017
17-018221,2017-05,5/8/2016 12:00,Y, , ,1, ,21000,4/18/2017 12:05,5/12/2017,3,327,RAPE -- FORCIBLE                                  ,2600,CALIFORNIA AVE      ,24,373,, , ,2600,CALIFORNIA,0,0,5/15/2017
17-022264,2017-05,5/10/2017 20:30,Y, , ,1, ,41011,5/10/2017 22:26,5/14/2017,6,622,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4115,W PENROSE ST        ,68,306,, , ,4130,PENROSE,898636.8,1033789,5/16/2017
17-021706,2017-05,5/7/2017 23:30,Y, , ,1, ,51312,5/8/2017 8:38,5/13/2017,6,628,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,8515,TARA LN             ,73,306,, ,GARAGE,8515,TARA,892905.9,1048647,5/15/2017
17-022556,2017-05,5/9/2017 23:00,Y, , ,1, ,69602,5/12/2017 13:10,5/13/2017,1,125,"LARCENY-ALL OTHER $500 - $24,999                  ",5119,S BROADWAY          ,17,301,, , ,5119,BROADWAY,894654.3,994972.3,5/15/2017
17-021786,2017-05,4/17/2017 22:43,Y, , ,1, ,266999,5/8/2017 14:45,5/15/2017,6,622,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,4514,CLARENCE AVE        ,68,399,, , ,4514,CLARENCE,898338.4,1036040,5/15/2017
17-022425,2017-05,5/11/2017 15:05,Y, , ,1, ,41011,5/11/2017 18:12,5/13/2017,6,622,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3950,CARTER AVE          ,67,306,, , ,,,900334.3,1033366,5/15/2017
17-016100,2017-05,10/15/2010 0:01,Y, , ,1, ,43025,4/6/2017 19:31,5/12/2017,6,623,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC           ,4876,MARGARETTA AVE      ,69,373,, , ,4876,MARGARETTA,892502.3,1035422,5/15/2017
17-022525,2017-05,5/12/2017 8:40,Y, , ,1, ,43015,5/12/2017 10:09,5/14/2017,5,523,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,0,N EUCLID AVE / FOUNTAIN AVE,53,305,, ,@WASHINGTON MONTESORI,,,888789.4,1027499,5/15/2017
17-022335,2017-05,5/11/2017 8:44,Y, , ,1, ,152200,5/11/2017 9:37,5/14/2017,5,526,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5887,PAGE BLVD           ,78,305,, ,SIDEWALK,5887,PAGE,881427.4,1032335,5/15/2017
17-022503,2017-05,5/11/2017 17:00,Y, , ,1, ,64701,5/12/2017 8:31,5/14/2017,5,525,LARCENY-FROM MTR VEH UNDER $500                   ,6128,WATERMAN BLVD       ,46,305,, ,REAR PARKING PAD,6128,WATERMAN,877905.1,1025719,5/15/2017
17-022512,2017-05,5/12/2017 7:50,Y, , ,1, ,91113,5/12/2017 8:27,5/14/2017,5,527,SIMPLE ASSAULT-ADULT/NO INJURY                    ,1408,N KINGSHIGHWAY BLVD ,53,305,, , ,1408,KINGSHIGHWAY,888420.4,1030180,5/15/2017
17-022627,2017-05,5/12/2017 17:30,Y, , ,1, ,91113,5/12/2017 19:13,5/14/2017,6,624,SIMPLE ASSAULT-ADULT/NO INJURY                    ,5458,GERALDINE AVE       ,71,306,, , ,,,894627.8,1041469,5/15/2017
17-022454,2017-05,5/11/2017 19:55,Y, , ,1, ,265321,5/14/2017 17:52,5/14/2017,6,629,LEAVING SCENE OF ACCIDENT                         ,10000,RIVERVIEW DR        ,75,306,, ,ROADWAY,,,906291.5,1060106,5/15/2017
17-022702,2017-05,5/13/2017 7:45,Y, , ,1, ,250000,5/13/2017 8:09,5/14/2017,3,326,LOITERING-BEGGING                                 ,0,S 9TH ST / LAFAYETTE AVE,21,303,, , ,,,905255.8,1011437,5/15/2017
17-022605,2017-05,5/12/2017 16:30,Y, , ,1, ,229999,5/12/2017 17:35,5/14/2017,3,328,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE                ,2608,SIDNEY ST           ,23,303,, , ,2607,GRAVOIS,899462.4,1009422,5/15/2017
17-022650,2017-05,5/12/2017 21:15,Y, , ,1, ,142320,5/12/2017 22:17,5/14/2017,6,621,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3030,N EUCLID AVE        ,55,306,, , ,3030,EUCLID,891315.8,1033702,5/15/2017
17-022729,2017-05,5/13/2017 0:30,Y, , ,1, ,142320,5/13/2017 11:49,5/14/2017,6,624,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4960,HARNEY AVE          ,71,306,, , ,4960,HARNEY,894795.7,1039875,5/15/2017
17-022798,2017-05,5/13/2017 14:30,Y, , ,1, ,265321,5/13/2017 23:48,5/14/2017,5,525,LEAVING SCENE OF ACCIDENT                         ,270,N SKINKER BLVD      ,46,305,, , ,270,SKINKER,877134.8,1025569,5/15/2017
17-022750,2017-05,5/13/2017 12:45,Y, , ,1, ,41013,5/13/2017 14:13,5/14/2017,2,225,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,2216,PORTIS AVE          ,13,302,, , ,,,887858.8,1011930,5/16/2017
17-022706,2017-05,5/12/2017 12:00,Y, , ,1, ,65701,5/13/2017 9:08,5/13/2017,3,327,LARCENY-MTR VEH PARTS UNDER $500                  ,0,S GRAND BLVD / HARTFORD ST,25,680,, , ,,,893884.9,1008098,5/15/2017
17-022131,2017-05,5/10/2017 7:05,Y, , ,1, ,35112,5/10/2017 9:48,5/13/2017,4,426,ROBBERY-GAS STA/FIREARM USED/ATTEMPT              ,4500,N BROADWAY          ,64,304,,ENERGY EXPRESS/PHILLIPS 66,NEXT TO PUMP NUMBERS 13 AND 14,4500,BROADWAY,905164,1033720,5/16/2017
17-022749,2017-05,5/13/2017 11:59,Y, , ,1, ,91113,5/13/2017 13:51,5/14/2017,5,524,SIMPLE ASSAULT-ADULT/NO INJURY                    ,5121,DELMAR BLVD         ,51,305,,INTERSTATE BLOOD BANK,PARKING LOT,5121,DELMAR,886474.4,1026474,5/15/2017
17-022899,2017-05,5/14/2017 10:25,Y, , ,1, ,241100,5/14/2017 11:21,5/14/2017,3,327,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3150,S GRAND BLVD        ,25,303,, , ,3150,GRAND,893905,1007810,5/15/2017
17-022425,2017-05,5/11/2017 15:05,Y, , ,1, ,41021,5/11/2017 18:12,5/13/2017,6,622,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE      ,3950,CARTER AVE          ,67,306,, , ,,,900334.3,1033366,5/15/2017
17-021716,2017-05,5/8/2017 8:13,Y, , ,1, ,73413,5/8/2017 9:23,5/13/2017,4,425,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48    ,1220,WARREN ST           ,63,304,, , ,1220,WARREN,907350.3,1025616,5/15/2017
17-022525,2017-05,5/12/2017 8:40,Y, , ,1, ,43012,5/12/2017 10:09,5/14/2017,5,523,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE    ,0,N EUCLID AVE / FOUNTAIN AVE,53,305,, ,@WASHINGTON MONTESORI,,,888789.4,1027499,5/15/2017
17-022469,2017-05,5/11/2017 21:00,Y, , ,1, ,142320,5/11/2017 22:59,5/14/2017,3,322,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3946,MINNESOTA AVE       ,16,303,, , ,3946,MINNESOTA,895515.6,1001592,5/15/2017
17-022504,2017-05,5/12/2017 7:29,Y, , ,1, ,142320,5/12/2017 8:15,5/14/2017,4,425,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1116,BRISTOL LN          ,63,304,, ,BRISTOL PLACE APARTMENTS,1116,BRISTOL,908357.4,1024419,5/15/2017
17-022543,2017-05,5/12/2017 7:50,Y, , ,1, ,41011,5/12/2017 13:16,5/14/2017,5,521,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4590,CHILDRENS PL        ,38,305,, ,APPROXIMATELY AT THE INTERSECTION OF N. KINGSHIGHWAY AND MARYLAND,4590,CHILDRENS,887148.7,1020992,5/15/2017
17-022627,2017-05,5/12/2017 17:30,Y, , ,1, ,91123,5/12/2017 19:13,5/14/2017,6,624,SIMPLE ASSAULT-CHILD/NO INJURY                    ,5458,GERALDINE AVE       ,71,306,, , ,,,894627.8,1041469,5/15/2017
17-022681,2017-05,5/13/2017 2:00,Y, , ,1, ,178200,5/13/2017 2:35,5/13/2017,4,423,SEX OFFNS-EXPOSURE/EXPOSING PERSON                ,1100,WASHINGTON AVE      ,35,304,, ,ON STREET,,,0,0,5/15/2017
17-022733,2017-05,5/13/2017 10:45,Y, , ,1, ,91113,5/13/2017 12:27,5/14/2017,3,326,SIMPLE ASSAULT-ADULT/NO INJURY                    ,1408,S 10TH ST           ,34,303,,ST VINCENTS CHURCH,LASALLE NEIGHBORHOOD,922,PARK,905682.5,1012237,5/15/2017
17-022703,2017-05,5/13/2017 6:50,Y, , ,1, ,91114,5/13/2017 8:22,5/14/2017,3,324,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3817,WISCONSIN AVE       ,18,303,, , ,3817,WISCONSIN,899437.8,1001982,5/15/2017
17-022841,2017-05,5/13/2017 23:25,Y, , ,1, ,41011,5/14/2017 1:36,5/14/2017,4,426,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4139,N 22ND ST           ,65,304,, , ,4131,22ND,903213.4,1031008,5/15/2017
17-022731,2017-05,5/13/2017 11:12,Y, , ,1, ,211000,5/14/2017 7:09,5/14/2017,2,225,DUI-DRVING WHILE INTOXICATED                      ,2139,ALFRED AVE          ,13,302,, , ,2139,ALFRED,888021.8,1011945,5/15/2017
17-022713,2017-05,5/12/2017 10:45,Y, , ,1, ,142320,5/13/2017 9:59,5/14/2017,5,521,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5001,WEST PINE BLVD      ,38,305,, , ,26,TAYLOR PLACE,887329.6,1022870,5/15/2017
17-021982,2017-05,5/9/2017 12:30,Y, , ,1, ,241100,5/9/2017 13:50,5/14/2017,6,623,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4415,NATURAL BRIDGE AVE  ,69,306,, ,LIBRARY- JULIA DAVIS BRANCH,,,895362.3,1033087,5/16/2017
17-022805,2017-05,5/13/2017 18:20,Y, , ,1, ,265321,5/14/2017 16:10,5/14/2017,2,228,LEAVING SCENE OF ACCIDENT                         ,0,S BOYLE AVE / I 64 EASTBOUND,39,302,, ,ALIAS EB40/BOYLE,,,890647.1,1018734,5/15/2017
17-022635,2017-05,5/12/2017 18:30,Y, , ,1, ,31212,5/12/2017 20:02,5/13/2017,5,522,ROBBERY-HIGHWAY       /KNIFE USED/ATTEMPT         ,0,PERSHING AVE / N TAYLOR AVE,38,304,, , ,,,889615.2,1023936,5/16/2017
17-022674,2017-05,5/13/2017 0:20,Y, , ,1, ,241100,5/13/2017 1:08,5/15/2017,2,226,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3635,VISTA AVE           ,29,302,,SAINT LOUIS UNIVERSITY HOSPITAL, ,3635,VISTA,894354.8,1015713,5/16/2017
17-022533,2017-05,5/8/2017 18:30,Y, , ,1, ,64701,5/12/2017 10:38,5/13/2017,6,622,LARCENY-FROM MTR VEH UNDER $500                   ,4324,MARGARETTA AVE      ,68,332,,ST LOUIS DREAM CENTER, ,4324,MARGARETTA,896091.8,1033435,5/15/2017
17-022767,2017-05,5/12/2017 20:45,Y, , ,1, ,241100,5/13/2017 15:53,5/14/2017,1,122,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3759,ROBERT AVE          ,4,301,, , ,3759,ROBERT,886208.4,992141.8,5/15/2017
17-022678,2017-05,5/13/2017 1:00,Y, , ,1, ,142320,5/13/2017 1:57,5/13/2017,3,323,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3118,POTOMAC ST          ,19,303,,GRAVOIS PARK, ,3118,POTOMAC,895737.1,1004693,5/15/2017
17-022752,2017-05,5/12/2017 9:00,Y, , ,1, ,64701,5/13/2017 13:57,5/13/2017,2,222,LARCENY-FROM MTR VEH UNDER $500                   ,5611,DEVONSHIRE AVE      ,7,680,, , ,5611,DEVONSHIRE,880637.6,1003208,5/16/2017
17-021989,2017-05,5/9/2017 13:10,Y, , ,1, ,241100,5/9/2017 14:01,5/12/2017,3,322,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3452,KEOKUK ST           ,16,303,, , ,3930,BROADWAY,893690.4,1002327,5/16/2017
17-022502,2017-05,5/11/2017 20:30,Y, , ,1, ,64701,5/12/2017 7:50,5/13/2017,1,129,LARCENY-FROM MTR VEH UNDER $500                   ,4368,ELLENWOOD AVE       ,5,301,, , ,4368,ELLENWOOD,886463.3,1002337,5/15/2017
17-022722,2017-05,5/12/2017 23:59,Y, , ,1, ,142320,5/13/2017 11:04,5/13/2017,1,127,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3674,LIERMANN AVE        ,16,680,, , ,3674,LIERMANN,892333.8,1001688,5/15/2017
17-022891,2017-05,5/13/2017 23:30,Y, , ,1, ,71030,5/14/2017 9:56,5/14/2017,6,622,AUTO THEFT-PERM RETNT/JOY RIDE                    ,4538,ADELAIDE AVE        ,68,680,, , ,4538,ADELAIDE,899818.1,1034382,5/15/2017
17-022724,2017-05,5/12/2017 19:00,Y, , ,1, ,64711,5/13/2017 11:14,5/13/2017,3,328,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1805,HICKORY ST          ,32,680,, , ,1805,HICKORY,902843.8,1014349,5/15/2017
17-022780,2017-05,5/11/2017 18:00,Y, , ,1, ,64701,5/13/2017 16:13,5/14/2017,2,222,LARCENY-FROM MTR VEH UNDER $500                   ,5749,DELOR ST            ,7,302,, ,INSIDE VEHICLE,5749,DELOR,879734.7,1001686,5/16/2017
17-022779,2017-05,5/13/2017 5:30,Y, , ,1, ,71013,5/13/2017 16:13,5/13/2017,6,627,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,762,PONCE AVE           ,74,680,, , ,762,PONCE,897487.3,1046979,5/16/2017
17-022553,2017-05,5/10/2017 7:00,Y, , ,1, ,64701,5/12/2017 12:40,5/13/2017,6,627,LARCENY-FROM MTR VEH UNDER $500                   ,6432,PRESCOTT AVE        ,79,332,, ,GARAGE,6432,PRESCOTT,900378.8,1039658,5/15/2017
17-022925,2017-05,5/10/2017 23:59,Y, , ,1, ,71013,5/14/2017 13:21,5/14/2017,1,121,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,120,E CATALAN ST        ,2,680,, , ,,,887220.5,985337,5/16/2017
17-022820,2017-05,5/13/2017 17:00,Y, , ,1, ,65701,5/13/2017 20:34,5/13/2017,3,327,LARCENY-MTR VEH PARTS UNDER $500                  ,0,ARSENAL ST / S GRAND BLVD,25,680,, , ,,,893925.6,1008454,5/16/2017
17-022806,2017-05,5/13/2017 13:00,Y, , ,1, ,64601,5/13/2017 19:35,5/14/2017,4,423,"LARCENY-FROM MTR VEH $500 - $24,999               ",701,CONVENTION PZ,35,304,, ,@EDWARD JONES DOME,,,908773.3,1019107,5/16/2017
17-022859,2017-05,5/14/2017 1:07,Y, , ,1, ,91303,5/14/2017 2:59,5/15/2017,5,527,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY           ,1451,N KINGSHIGHWAY BLVD ,51,305,,CROWN MART,PARKING LOT,,,888171.9,1030307,5/16/2017
17-022890,2017-05,5/14/2017 9:00,Y, , ,1, ,151130,5/14/2017 11:41,5/14/2017,4,425,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING            ,1445,WRIGHT ST           ,63,304,, , ,,,905842.3,1026387,5/16/2017
17-022483,2017-05,5/12/2017 0:13,Y, , ,1, ,265321,5/14/2017 4:57,5/15/2017,3,326,LEAVING SCENE OF ACCIDENT                         ,0,I 55 NORTHBOUND / PARK AVE,21,303,, ,ON INTERSTATE,1325,GRAND,906535.6,1012224,5/16/2017
17-022715,2017-05,5/13/2017 6:00,Y, , ,1, ,71013,5/13/2017 10:15,5/14/2017,5,529,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3607,HAMILTON AVE        ,50,305,, ,VEGAS INN,3607,HAMILTON,884714.6,1038923,5/16/2017
17-022922,2017-05,5/14/2017 12:00,Y, , ,1, ,41011,5/14/2017 14:02,5/14/2017,6,623,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4257,SHREVE AVE          ,69,306,, , ,4257,SHREVE,894040.8,1036514,5/16/2017
17-022675,2017-05,5/13/2017 0:01,Y, , ,1, ,51211,5/13/2017 2:01,5/13/2017,5,524,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED         ,5256,DELMAR BLVD         ,38,305,, , ,5256,DELMAR,885088,1026396,5/16/2017
17-015935,2017-05,4/5/2017 20:20,Y, , ,1, ,41024,4/5/2017 23:03,5/13/2017,6,622,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC           ,4126,W FLORISSANT AVE    ,68,374,,BP GAS STATION, ,6040,HARNEY,900142.6,1034662,5/16/2017
17-022376,2017-05,5/11/2017 12:15,Y, , ,1, ,115101,5/11/2017 13:36,5/14/2017,3,322,ATTEMPT FRAUD                                     ,4022,NEBRASKA AVE        ,16,303,, , ,4022,NEBRASKA,896147.3,1001094,5/16/2017
